0,0
1,1
2,0
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,1
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,1
45,0
46,0
47,1
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,0
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,1
100,0
101,0
102,1
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,1
140,0
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,1
149,0
150,0
151,0
152,0
153,1
154,0
155,0
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,1
173,0
174,1
175,0
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,1
195,1
196,0
197,1
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,0
229,1
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,0
239,1
240,0
241,1
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,1
264,0
265,1
266,0
267,0
268,0
269,0
270,1
271,1
272,0
273,0
274,0
275,1
276,1
277,1
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,1
293,1
294,1
295,0
296,1
297,0
298,0
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,1
312,1
313,0
314,0
315,1
316,0
317,1
318,0
319,1
320,0
321,1
322,1
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,1
334,0
335,1
336,0
337,0
338,1
339,0
340,1
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,0
349,0
350,1
351,1
352,1
353,1
354,0
355,0
356,1
357,0
358,1
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,0
382,1
383,0
384,0
385,1
386,0
387,0
388,0
389,1
390,0
391,0
392,1
